 -- -- -- -- (%) -- (%) -- "unit">(m/s)</span></th>
 2021-02-13 01 晴れ 2.8 0 0 76 1 "北"
 2021-02-13 02 晴れ 2.3 0 0 76 1 "北"
 2021-02-13 03 晴れ 1.5 0 0 72 2 "北"
 2021-02-13 04 晴れ 1.0 0 0 66 2 "北"
 2021-02-13 05 晴れ 0.8 0 0 66 2 "北北西"
 2021-02-13 06 晴れ 1.0 10 0 64 1 "北北西"
 2021-02-13 07 曇り 1.2 10 0 64 2 "北北西"
 2021-02-13 08 曇り 2.5 10 0 58 2 "北"
 2021-02-13 09 曇り 3.9 10 0 52 1 "北"
 2021-02-13 10 曇り 5.6 10 0 46 2 "北"
 2021-02-13 11 曇り 7.0 30 0 42 2 "北北西"
 2021-02-13 12 曇り 8.1 40 0 40 2 "北西"
 2021-02-13 13 小雨 8.8 70 0 42 2 "北北西"
 2021-02-13 14 小雨 9.1 80 0 50 3 "北"
 2021-02-13 15 弱雨 8.3 80 1 58 3 "北北西"
 2021-02-13 16 弱雨 7.4 80 1 66 3 "北北西"
 2021-02-13 17 弱雨 6.6 80 1 70 3 "北北西"
 2021-02-13 18 弱雨 5.8 80 1 76 3 "北北西"
 2021-02-13 19 弱雨 5.3 80 1 80 3 "北北西"
 2021-02-13 20 弱雨 4.8 80 1 82 3 "北北西"
 2021-02-13 21 弱雨 4.6 80 1 82 3 "北北西"
 2021-02-13 22 曇り 4.5 40 0 82 3 "北北西"
 2021-02-13 23 曇り 4.5 40 0 80 3 "北北西"
 2021-02-13 0 曇り 4.6 40 0 74 3 "北北西"
 -- -- 曇り -- -- -- (%) -- --
 2022-02-14 01 曇り 4.6 (%) 0 -- 3 "unit">(m/s)</span></th>
 2022-02-14 02 曇り 4.6 30 0 72 3 "北北西"
 2022-02-14 03 曇り 4.5 20 0 68 3 "北北西"
 2022-02-14 04 曇り 4.4 20 0 68 3 "北北西"
 2022-02-14 05 曇り 4.1 20 0 65 3 "北北西"
 2022-02-14 06 晴れ 3.9 20 0 64 3 "北北西"
 2022-02-14 07 晴れ 3.7 20 0 61 3 "北北西"
 2022-02-14 08 晴れ 4.5 20 0 60 3 "北北西"
 2022-02-14 09 晴れ 5.7 20 0 60 2 "北北西"
 2022-02-14 10 晴れ 7.3 20 0 53 2 "北"
 2022-02-14 11 晴れ 9.1 0 0 48 3 "北"
 2022-02-14 12 晴れ 10.7 0 0 43 2 "北北西"
 2022-02-14 13 晴れ 12.2 0 0 39 2 "北北西"
 2022-02-14 14 晴れ 13.1 0 0 36 2 "北西"
 2022-02-14 15 晴れ 13.2 0 0 34 2 "西"
 2022-02-14 16 晴れ 12.1 0 0 34 2 "西南西"
 2022-02-14 17 晴れ 10.8 0 0 36 2 "南西"
 2022-02-14 18 晴れ 9.3 0 0 40 2 "南西"
 2022-02-14 19 晴れ 8.0 10 0 48 1 "南南西"
 2022-02-14 20 晴れ 7.0 10 0 54 1 "南西"
 2022-02-14 21 晴れ 6.2 10 0 64 1 "西"
 2022-02-14 22 晴れ 5.8 10 0 72 1 "北北西"
 2022-02-14 23 晴れ 5.8 10 0 76 1 "北"
 2022-02-14 0  5.7 20 0 78 1 "北北西"
 -- fix it!- -- -- (%) -- --
 2022-02-15 01 曇り 4.6 (%) 0 -- 3 "unit">(m/s)</span></th>
 2022-02-15 02 曇り 4.6 30 0 72 3 "北北西"
 2022-02-15 03 曇り 4.5 20 0 68 3 "北北西"
 2022-02-15 04 曇り 4.4 20 0 68 3 "北北西"
 2022-02-15 05 曇り 4.1 20 0 65 3 "北北西"
 2022-02-15 06 晴れ 3.9 20 0 64 3 "北北西"
 2022-02-15 07 晴れ 3.7 20 0 61 3 "北北西"
 2022-02-15 08 晴れ 4.5 20 0 60 3 "北北西"
 2022-02-15 09 晴れ 5.7 20 0 60 2 "北北西"
 2022-02-15 10 晴れ 7.3 20 0 53 2 "北"
 2022-02-15 11 晴れ 9.1 0 0 48 3 "北"
 2022-02-15 12 晴れ 10.7 0 0 43 2 "北北西"
 2022-02-15 13 晴れ 12.2 0 0 39 2 "北北西"
 2022-02-15 14 晴れ 13.1 0 0 36 2 "北西"
 2022-02-15 15 晴れ 13.2 0 0 34 2 "西"
 2022-02-15 16 晴れ 12.1 0 0 34 2 "西南西"
 2022-02-15 17 晴れ 10.8 0 0 36 2 "南西"
 2022-02-15 18 晴れ 9.3 0 0 40 2 "南西"
 2022-02-15 19 晴れ 8.0 10 0 48 1 "南南西"
 2022-02-15 20 晴れ 7.0 10 0 54 1 "南西"
 2022-02-15 21 晴れ 6.2 10 0 64 1 "西"
 2022-02-15 22 晴れ 5.8 10 0 72 1 "北北西"
 2022-02-15 23 晴れ 5.8 10 0 76 1 "北"
 2022-02-15 0  5.7 20 0 78 1 "北北西"
