#date,hour,temp,rainProb,mmRain,humid,wind,windDir
2022-03-07,21,晴れ,5.1,0,0,50,4,北西
2022-03-07,22,晴れ,4.6,0,0,52,4,北西
2022-03-07,23,晴れ,4.0,0,0,54,3,北西
2022-03-07,24,晴れ,3.4,0,0,56,3,北北西
2022-03-08,1,晴れ,2.9,-1,0,-1,2,北北西
2022-03-08,2,晴れ,2.4,0,0,56,2,北北西
2022-03-08,3,晴れ,1.8,0,0,58,2,北北西
2022-03-08,4,晴れ,1.3,0,0,60,2,北北西
2022-03-08,5,晴れ,0.5,0,0,60,2,北北西
2022-03-08,6,晴れ,0.5,0,0,62,2,北北西
2022-03-08,7,晴れ,1.2,0,0,62,2,北
2022-03-08,8,晴れ,3.3,0,0,62,2,北
2022-03-08,9,晴れ,5.3,0,0,52,2,北北西
2022-03-08,10,晴れ,7.3,0,0,44,2,北北西
2022-03-08,11,晴れ,9.0,0,0,36,3,北北西
2022-03-08,12,晴れ,10.2,0,0,30,3,北西
2022-03-08,13,晴れ,11.4,0,0,24,3,北西
2022-03-08,14,晴れ,12.6,0,0,20,3,北西
2022-03-08,15,晴れ,13.2,0,0,20,4,北西
2022-03-08,16,晴れ,12.2,0,0,20,4,北西
2022-03-08,17,晴れ,10.8,0,0,22,4,北西
2022-03-08,18,晴れ,9.0,0,0,32,4,北西
2022-03-08,19,晴れ,7.7,0,0,40,4,北西
2022-03-08,20,晴れ,6.9,0,0,45,3,北西
2022-03-08,21,晴れ,6.1,0,0,48,3,北西
2022-03-08,22,晴れ,5.7,0,0,51,2,北西
2022-03-08,23,晴れ,4.9,0,0,55,2,北西
2022-03-08,24,晴れ,4.0,0,0,60,1,北北西
